autoria_nome_publico;total
clube do sigui;1
clube do vida de suporte;1
clube dos problemas & cia;1
clube dos surtinhos;1
clube mnq;1
clube protótipo;1
clubinho da brielli;1
clubinho do mattos;1
clubinho dos caídos;1
cláudio boaventura;2
clério arouca;2
coati;1
coisas estranhas;1
coletivo açaí pesado;1
coletivo bereguedê;2
coletivo catarse transforma;1
coletivo de quadrinistas indígenas;1
coletivo guilda dos quadrinhos;1
coletivo iukytáias;1
colibrí tóxico;1
color meow studio;1
começando com o pior talento rank-z;1
comic city;1
comic club br;1
comic+;6
comics e arte digital;1
comics gr;3
comoequetalá;1
compre minha arte enquanto tô vivo;1
compêndio comics;1
conhecimento financeiro;1
conrad editora;1
continuidade da produção artística;1
contos da meg;1
contos do siará;1
contra gigantes;1
conversa de nerd;1
cora ottoni;2
cordeiro de sá;1
cosmic victoria;1
cosmic wolf club;1
cotoco news;1
cqi - companhia de quadrinhos independentes;1
crescer com criatividade;1
criando fã games;1
criar comics studio;1
criativa quadrinhos;1
criações da re vitrola;1
cris camargo;4
cristiano henriques de melo;1
cristiano ludgerio;1
cristiano seixas;3
cristina pezel (escritora e roteirista) - selo pictos;1
cronologiahq;1
cronus case;1
crow;1
cyn gomes;1
cássio peixoto - mucufo coletivo de quadrinhos;1
cátia ana baldoino da silva;2
d. l. werneck;2
d.pedro ii - o imperador no exílio;1
da rosa estúdio;6
dadí;1
daiandreson victor;2
daieny schuttz;1
dalton cara;2
dan aroeira;3
dan borges;1
dango yoshio;1
dani b.;1
dani dias;1
daniel bretas;1
daniel brás;1
daniel cramer;1
daniel dos santos ramos;1
daniel esteves;4
daniel franklin;1
daniel hdr;1
daniel lopes compa calvacante;1
daniel lopez/desvendando o original;1
daniel lucavis;1
daniel ramos;1
daniel rodrigues;2
daniel santos  ramos;1
daniel siqueira lopez lago;1
daniel sousa;4
daniela beleze karasawa;1
daniela rangel baptista;1
danilo fernando de angeli;1
danilo scarpa;1
dann snow;1
dario vetere;1
davi calil;4
david arievilo;1
db_arts;1
death star - a lenda dos defensores;1
deby dreamwalker;1
deivid borba;1
delacroix sasha;1
delmo arguelhes;1
demi;1
denis mello;3
denis rizzoli;1
denise ilustra;1
desat.se;1
desatencioso;1
descolados;1
desenha randall random;1
desenhando a natureza;1
desenhista precisa de ajudar pra republicar obra de hq;2
desenhos da steps;1
desenhos do nando;1
desenhos e comedia;1
desorientanda;1
destro;1
desvio de verba;1
determination maga;1
devahuti dasi;1
devaneio aleatório;1
deyvison manes;2
dfmedieval;1
dharma;1
diana doria;1
dicas e materiais com flavio soares;1
didi mamushka;4
dieferson trindade;9
diego e joão;1
diego esteves;2
diego jose lima silva;1
diego marinho;1
diego maryo;2
diego risan;1
diego sanches;6
diego toledo;1
digo freitas;4
dimitre camargo martins;2
diogo dornelas;1
diogo pavan;2
diversidade nerd | chris gonzatti;1
divisao 9;1
diário ilustrado;1
diêgo miranda;1
don comics & pan quadrinhos;5
dona anésia & cia;1
doug lira;1
douglas cruz;1
douglas mct;1
douglas phillips freitas;6
douglas reinaldo;1
douglas reis ribeiro;1
dougropi;1
down o infernal mundo de syndrome;1
draconian comics;1
draconnasti;1
dragonarte;1
dragão teimoso - dtcast;1
duane henrique;2
duck iazy semanal/quinzenal;1
dínamo estúdio;1
e.t. zuba;1
eberton ferreira;6
ebook box - séries & quadrinhos;1
ecinho lima;1
ed benes;2
ed saraiva jr;1
ed_art;1
eddu menêzes;1
ede galileu;5
edegar agostinho;2
eder modanez;1
edimania;1
editora 85;16
editora aventurástica;1
editora celeste;1
editora clepsidra;1
editora de um livro só;1
editora diário macabro;4
editora draco;25
editora estação liberdade;1
editora filoteia;1
editora heroica;6
editora hipotética;3
editora humanas - fã page;1
editora kimera;3
editora lorentz;2
editora mino;2
editora noir;8
editora oficina raquel;1
editora quadriculando;33
editora quanta;2
editora saicã;9
editora seguinte;1
editora sepiante;1
editora tundra;6
editora universo fantástico;6
editora veneta;1
editora ver-o-gibi;1
editora virafolha;2
editorabezalel:  artes & ofícios;1
edna pessanha alves;1
edson  bortolotte;7
edson luis;1
edu bruks;1
eduardo alves;1
eduardo alves souza;1
eduardo azevedo;2
eduardo baltasar francisco;1
eduardo damasceno;1
eduardo dieb;1
