autoria_nome_publico;total;aon;aon_sucesso;aon_falha;flex;flex_sucesso;flex_falha;sub;sub_sucesso;sub_falha
apoia a bonne;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoia serelepe;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoia.se indie ban!;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoiar;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoie a arte da racka;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
apoie a arte de jeffartes!;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoie a imagine;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoie a página;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoie a woo! magazine;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoie minha produção de conteúdo;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
apoie o arte destrutiva!;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoie o bacellar - cartunismo;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
apoie o blog splashpages;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoie o café, cactos e dinossasuros;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoie o calvet;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
apoie o canal almanimes;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
"apoie o canal e ganhe acesso ao ""clã secreto""";1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoie o canal e seja vip;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoie o docontra;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoie o kau :3;1;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0
apoie o mangá decon!;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoie o marcelo ganhe iphone zero;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoie o nerdiota!;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoie o planeta bugado!;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoie o uma voz da consciência;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoie sou petrus;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoie sua artista local - ing lee;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoie the king in the sun;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
apoie um artista: o m á a r t e;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoie um illustrador;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoiem o canal;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoio a bina confusa;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoio ao cícero apenas;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoio da alcateia - rhamirex;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apoio na moralzinha;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
appeducar;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
apóie a rádio ipanema comunitária fm 87,9 - financiamento coletivo;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
archiri usagi;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
arkanum - web comic brasileira!!!;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
arllen ribeiro;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
armando fonseca;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
armon em ação!;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
arnaldo junior;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
arrecadando sonhos;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
arroi cum legumao;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
arte livro e quadrinhos toda semana;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
artes da ard;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
artes do axé;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
artes do cesão;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
arthur amancio;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
arthur hesli;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
artisticamente ajudando os filhos;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
ary araujo de santa cruz oliveira netto;2;2,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
as crônicas de um idiota;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
as pérolas de uel;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
as tiras do caos!;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
ashley serena;1;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0
